,instance,log10_count_fromsolver,prec,solver,configuration,solver_conf,job,count
19,mc2026_track1_039.cnf,11.4469,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,279857462060
20,mc2026_track1_041.cnf,20.7514,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,564153552511417968750
21,mc2026_track1_043.cnf,11.8686,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,738969640920
22,mc2026_track1_045.cnf,10.5097,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,32334741710
23,mc2026_track1_047.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
24,mc2026_track1_049.cnf,13.1116,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,12930673567682
25,mc2026_track1_051.cnf,15.5306,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,3393485555651045
26,mc2026_track1_053.cnf,12.8343,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,6827710664219
27,mc2026_track1_055.cnf,16.2556,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,18014398509481984
28,mc2026_track1_057.cnf,22.2762,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,18889465931478580854784
29,mc2026_track1_059.cnf,11.7402,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,549755813888
30,mc2026_track1_061.cnf,-inf,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,0
31,mc2026_track1_063.cnf,23.4803,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,302231454903657293676544
32,mc2026_track1_065.cnf,3.4866,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,3066
33,mc2026_track1_067.cnf,0.6021,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,4
34,mc2026_track1_069.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
35,mc2026_track1_071.cnf,10.4015,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,25205389326
36,mc2026_track1_073.cnf,3.3556,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,2268
37,mc2026_track1_075.cnf,9.8392,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,6905169454
38,mc2026_track1_077.cnf,12.0845,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,1214819892986
39,mc2026_track1_079.cnf,13.4870,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,30689663761877
40,mc2026_track1_081.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
41,mc2026_track1_083.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
42,mc2026_track1_085.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
43,mc2026_track1_087.cnf,10.2437,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,17528422464
44,mc2026_track1_089.cnf,-inf,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,0
45,mc2026_track1_091.cnf,-inf,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,0
46,mc2026_track1_093.cnf,0.0000,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,1
47,mc2026_track1_095.cnf,6.6536,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,4503632
48,mc2026_track1_097.cnf,0.4771,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,3
49,mc2026_track1_099.cnf,6.6536,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,4503632
50,mc2026_track1_101.cnf,0.4771,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,3
51,mc2026_track1_103.cnf,0.0000,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,1
52,mc2026_track1_105.cnf,2.4594,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,288
53,mc2026_track1_107.cnf,133.4326,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,27074324552188263115193324525043910411466079287194737862239975111039283194478178486570350758010456761223622424071136573497534086266600
54,mc2026_track1_109.cnf,141.5562,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,3599239755983329331332100508562451780508192148493160801718199944973008026807919208513108710328389951098075842967611059200000000000000000000000
55,mc2026_track1_111.cnf,123.4339,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,2716090255555394786865673931721659870192662048106344246114776105307491592972573691035248570056672524173798505601634040233480
56,mc2026_track1_113.cnf,126.3777,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,2386179727798317443182387728759025280637542166208758384036037409346857065068615755489422934430477849440649064528671759799828200
57,mc2026_track1_115.cnf,12.5872,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,3865470566400
58,mc2026_track1_117.cnf,8.4138,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,259288096
59,mc2026_track1_119.cnf,6.0000,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,1000000
60,mc2026_track1_121.cnf,4.7415,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,55143
61,mc2026_track1_123.cnf,-inf,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,0
62,mc2026_track1_125.cnf,0.0000,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,1
63,mc2026_track1_127.cnf,53.0487,"['approx', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,111869181327856632970982851835435663933423796501139456
64,mc2026_track1_129.cnf,5.8763,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,752061
65,mc2026_track1_131.cnf,8.5264,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,336067810
66,mc2026_track1_133.cnf,6.1013,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,1262816
67,mc2026_track1_135.cnf,1.1139,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,13
68,mc2026_track1_137.cnf,1.2553,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,18
69,mc2026_track1_139.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
70,mc2026_track1_141.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
71,mc2026_track1_143.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
72,mc2026_track1_145.cnf,0.0000,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,1
73,mc2026_track1_147.cnf,4.8165,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,65536
74,mc2026_track1_149.cnf,0.6021,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,4
75,mc2026_track1_151.cnf,4.8165,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,65536
76,mc2026_track1_153.cnf,0.7782,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,6
77,mc2026_track1_155.cnf,20.4908,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,309623079113133176160
78,mc2026_track1_157.cnf,124.0925,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,12374748797617855764050198121191304103511416559087400449928139456888070478909044293083079786511928252392690782684663014702600
79,mc2026_track1_159.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
80,mc2026_track1_161.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
81,mc2026_track1_163.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
82,mc2026_track1_165.cnf,119.9176,"['approx', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,827126914074712907626444988267313552940369174325059447388893813943139993694017715239201510664949457710414429770651533312
83,mc2026_track1_167.cnf,1.0000,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,10
84,mc2026_track1_169.cnf,21.3687,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,2337406655942795198464
85,mc2026_track1_171.cnf,6.2558,"['approx', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,1802246
86,mc2026_track1_173.cnf,6.3180,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,2079778
87,mc2026_track1_175.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
88,mc2026_track1_177.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
89,mc2026_track1_179.cnf,59.2811,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,191029877462537146700207540332399230969482128038712836096000
90,mc2026_track1_181.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
91,mc2026_track1_183.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
92,mc2026_track1_185.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
93,mc2026_track1_187.cnf,8.1278,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,134217728
94,mc2026_track1_189.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
95,mc2026_track1_191.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
96,mc2026_track1_193.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
97,mc2026_track1_195.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
98,mc2026_track1_197.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
99,mc2026_track1_199.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
